id,desc,trig_chan_id,trig_chan_title,trig_id,trig_title,act_chan_id,act_chan_title,act_id,act_title,addCount,url,violation
184709,Easy way to change your abode alarm system status to away using Alexa.,1172726678,Amazon Alexa,-1,Say a specific phrase,1381313233,abode,-1,Change mode,120,https://ifttt.com/applets/347287p-ask-alexa-to-change-abode-mode-to-away,x
184710,Have IFTTT call you if your alarm is triggered.,1381313233,abode,-1,Alarm activated,8,Phone Call (US only),-1,Call my phone,380,https://ifttt.com/applets/347288p-call-me-if-abode-alarm-is-triggered,x
184711,Turn on abode connected lights at sunset each evening.,7,Weather Underground,-1,Sunset,1381313233,abode,-1,Turn on switch,78,https://ifttt.com/applets/347289p-turn-on-abode-exterior-lights-at-sunset,x
184713,Sentd IFTTT push notification when alarm is triggered,1381313233,abode,-1,Alarm activated,651849913,Notifications,-1,Send a notification from the IFTTT app,320,https://ifttt.com/applets/347292p-if-alarm-is-triggered-then-send-push-notification,x
184957,Have alex trigger abode to turn off lights on a connected switch,1172726678,Amazon Alexa,-1,Say a specific phrase,1381313233,abode,-1,Turn off switch,74,https://ifttt.com/applets/347612p-ask-alexa-to-turn-off-lights,x
188334,Light up the house when alarm is activated.,1381313233,abode,-1,Alarm activated,71,Philips Hue,-1,Turn on lights,4,https://ifttt.com/applets/352658p-if-alarm-triggered-turn-lights-on,x
192071,mail kashif,1381313233,abode,-1,Alarm activated,33,Gmail,-1,Send an email,6,https://ifttt.com/applets/361916p-alarm-trigger-mail-kashif,x
195662,"""Sets the Nest temperature when the abode mode is changed (standby/home/away). Examples of use would be setting Nest to a lower temperature when abode is armed to """"away"""" (no one is home) or """"home"""" (sleeping).""",1381313233,abode,-1,Mode changed,811416297,Nest Thermostat,-1,Set temperature,9,https://ifttt.com/applets/372329p-if-abode-mode-changed-then-set-nest-temperature,x
210528,Allows you to automatically arm security based on all family smart phones not being at home.,1266669658,Life360,-1,Last family member leaves a specific place,1381313233,abode,-1,Change mode,2,https://ifttt.com/applets/392268p-use-life360-to-arm-abode-when-family-leaves,x
210530,Abode is disarmed when any family member gets home.,1266669658,Life360,-1,First family member arrives at a specific place,1381313233,abode,-1,Change mode,0,https://ifttt.com/applets/392270p-disarm-abode-using-life360,x
216504,This Recipe will turn on your hue lights when a specific person unlocks the specified lock.,1100957182,August,-1,Lock locked by specific person,71,Philips Hue,-1,Turn on lights,250,https://ifttt.com/applets/400013p-turn-your-hue-lights-on-when-you-get-home,x
